
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   9.23 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southeast', 'Southwest', 'Northeast', 'Northwest']
   5.45 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southeast', 'Southwest', 'Northwest', 'Northeast']
   4.83 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southeast', 'Northeast', 'Southwest', 'Northwest']
   4.14 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southeast', 'Northeast', 'Northwest', 'Southwest']
   3.75 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southeast', 'Northwest', 'Southwest', 'Northeast']
   3.36 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southeast', 'Northwest', 'Northeast', 'Southwest']
   3.27 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southwest', 'Southeast', 'Northeast', 'Northwest']
   2.97 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southwest', 'Southeast', 'Northwest', 'Northeast']
   2.94 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southwest', 'Northeast', 'Southeast', 'Northwest']
   2.76 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southwest', 'Northeast', 'Northwest', 'Southeast']
   2.72 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southwest', 'Northwest', 'Southeast', 'Northeast']
   2.53 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Southwest', 'Northwest', 'Northeast', 'Southeast']
   2.53 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Northeast', 'Southeast', 'Southwest', 'Northwest']
   2.40 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'West', 'Northeast', 'Southeast', 'Northwest', 'Southwest']
